,likes,replies,retweets,text,tweet_id,user_record_id
0,0,0,0,hey gorgeous ,2532_0,2532
1,0,0,0,@Juicegyal happy birthday your princess gorgeous ,2532_1,2532
2,0,0,0,pic.twitter.com/dLlcPd0rM3,2532_2,2532
3,0,0,0,pic.twitter.com/dXouFrQ2rX,2532_3,2532
4,0,0,0,@BRIABACKWOODS hey princess how are you,2532_4,2532
5,0,0,0,@byefeIicia hey beautiful,2532_5,2532
6,1,0,1,@BRIABACKWOODS good morning beautiful ,2532_6,2532
7,0,0,0,I just used Shazam to discover Da Art Of Storytellin' (Part 1) by OutKast. http://shz.am/t3190561 ,2532_7,2532
8,0,0,0,I just used Shazam to discover Joy by Teddy Pendergrass. http://shz.am/t437028 ,2532_8,2532
9,0,0,0,Listen to 6 Inch (feat. The Weeknd) by Beyoncé on @AppleMusic. https://itun.es/us/LDGacb?i=1107429335 …,2532_9,2532
10,0,0,0,@OfficialDesiree @FoundBAE beautiful,2532_10,2532
11,0,0,0,Really just not feeling life right now,2532_11,2532
12,0,0,0,pic.twitter.com/Wd49xa4sIL,2532_12,2532
13,1,0,0,pic.twitter.com/vZXJ4vYwfp,2532_13,2532
14,0,0,0,@blackmom_ good morning ,2532_14,2532
15,0,1,1,@RedBoneBeeT omg your gorgeous ,2532_15,2532
16,1,0,0,@OfficialDesiree good morning gorgeous ,2532_16,2532
17,0,1,0,@JaylaPrettyPuss good morning ,2532_17,2532
18,0,0,0,@tucsonbaybee good morning ,2532_18,2532
19,0,0,0,I just used Shazam to discover Famous by Kanye West. http://shz.am/t311919827 ,2532_19,2532
20,0,0,0,pic.twitter.com/ohQ3bLAS9C,2532_20,2532
0,0,0,0,"Your creative prowess is readily apparent at work today, embol... More for Leo http://bit.ly/xjQYj7 ",2597_0,2597
1,0,0,0,Unavoidable work commitments complicate your pursuit of pleasu... More for Leo http://bit.ly/xjQYj7 ,2597_1,2597
2,0,0,0,Although you could be worried about financial difficulties tha... More for Leo http://bit.ly/xjQYj7 ,2597_2,2597
3,0,0,0,A recent decision involving your career plans comes under reco... More for Leo http://bit.ly/xjQYj7 ,2597_3,2597
4,0,0,1,I'm really ctfu,2597_4,2597
5,0,0,0,oh yeah,2597_5,2597
6,0,2,0,"but let's not get away from the dress tho , that's some corn ball shit and her date look a mess ",2597_6,2597
7,0,1,0,but I'm really ctfu . He said you ain't even strong like ,2597_7,2597
8,0,0,0,Seafood for dinner baby oh yeah,2597_8,2597
9,0,0,0,"Playful flirting can suddenly turn serious today, so don't sen... More for Leo http://bit.ly/xjQYj7 ",2597_9,2597
10,0,0,0,Bitches love tightening up for Ramadan tho ,2597_10,2597
11,0,0,0,holleringggggg,2597_11,2597
12,0,0,0,My damn green card need to hurry up in the damn mail niggas hungry lil babies starving and shit man damn ,2597_12,2597
13,0,0,0,An innocent conversation could take an unexpected turn and lea... More for Leo http://bit.ly/xjQYj7 ,2597_13,2597
14,0,0,0,Empire really got me oss like,2597_14,2597
15,0,0,0,I didn't see that coming tho damn,2597_15,2597
16,0,0,0,'You need me to call you an uber?',2597_16,2597
17,0,0,0,Carol done showed up and out,2597_17,2597
